Label,Value,Year
Reported,1225,2008
Cleared,634,2008
Reported,1215,2009
Cleared,715,2009
Reported,1114,2010
Cleared,682,2010
Reported,896,2011
Cleared,566,2011
Reported,959,2012
Cleared,602,2012
Reported,810,2013
Cleared,505,2013
Reported,736,2014
Cleared,495,2014
Reported,687,2015
Cleared,465,2015
Reported,740,2016
Cleared,470,2016
Reported,663,2017
Cleared,433,2017
Reported,718,2018
Cleared,472,2018
