Label,Value,Year
Reported,1371,2008
Cleared,71,2008
Reported,1089,2009
Cleared,71,2009
Reported,1014,2010
Cleared,48,2010
Reported,944,2011
Cleared,43,2011
Reported,727,2012
Cleared,33,2012
Reported,769,2013
Cleared,47,2013
Reported,601,2014
Cleared,31,2014
Reported,704,2015
Cleared,51,2015
Reported,735,2016
Cleared,47,2016
Reported,644,2017
Cleared,37,2017
Reported,678,2018
Cleared,36,2018
