Label,Value,Year
Reported,1688,2008
Cleared,161,2008
Reported,1441,2009
Cleared,167,2009
Reported,1400,2010
Cleared,146,2010
Reported,1415,2011
Cleared,172,2011
Reported,1467,2012
Cleared,147,2012
Reported,1101,2013
Cleared,155,2013
Reported,1005,2014
Cleared,117,2014
Reported,867,2015
Cleared,104,2015
Reported,832,2016
Cleared,93,2016
Reported,840,2017
Cleared,112,2017
Reported,753,2018
Cleared,133,2018
