Label,Value,Year
Reported,5011,2008
Cleared,497,2008
Reported,4583,2009
Cleared,511,2009
Reported,4836,2010
Cleared,581,2010
Reported,4147,2011
Cleared,535,2011
Reported,4413,2012
Cleared,686,2012
Reported,4299,2013
Cleared,627,2013
Reported,3622,2014
Cleared,650,2014
Reported,3686,2015
Cleared,638,2015
Reported,3927,2016
Cleared,691,2016
Reported,3736,2017
Cleared,658,2017
Reported,3717,2018
Cleared,647,2018
