Label,Value,Year
Reported,905,2008
Cleared,152,2008
Reported,908,2009
Cleared,157,2009
Reported,787,2010
Cleared,163,2010
Reported,767,2011
Cleared,155,2011
Reported,845,2012
Cleared,157,2012
Reported,787,2013
Cleared,187,2013
Reported,594,2014
Cleared,106,2014
Reported,460,2015
Cleared,91,2015
Reported,400,2016
Cleared,89,2016
Reported,378,2017
Cleared,88,2017
Reported,322,2018
Cleared,53,2018
